tiempo radio velocidad aceleracion temperatura pg nH2 nH nO nO2 nOH nH2O nN nNH nNH2 nNH3 nN2H nNO nNO2 nN2O nHNO nN2 nArnH2O2 nHO2 
4.39664839704e-005 3.42847544464e-005 -270.668556361 -2826149367.34 4301.2603656 1038209.34994 970770742598 9553652364.04 341644315.424 484751481176 11446726613.8 1.47235067371e+012 0 0 0 0 0 0 0 0 0 0 0 134568.116695 2109.73464373 
4.39672801587e-005 3.40683478904e-005 -272.946294276 -2889499574 4332.74562883 1061737.80755 970123708978 10542855222.9 379415919.935 484346324250 12686945410.8 1.45967729929e+012 0 0 0 0 0 0 0 0 0 0 0 153910.530974 2630.3222358 
4.39680519028e-005 3.38568355103e-005 -275.203113714 -2953131491.71 4363.59857995 1085366.23278 969412916383 11603773340.8 420939632.167 483901781468 14021395352.6 1.44730744404e+012 0 0 0 0 0 0 0 0 0 0 0 175326.43829 3263.85025402 
4.39688007883e-005 3.3649904976e-005 -277.440872208 -3017079461.03 4393.83542437 1109103.92699 968633823122 12739573299 466615983.153 483415089221 15454412714.1 1.43522162031e+012 0 0 0 0 0 0 0 0 0 0 0 198962.112283 4031.75083157 
4.39695282698e-005 3.34472670421e-005 -279.661335676 -3081377920.59 4423.47096902 1132960.22452 967781681437 13953480235 516891383.504 482883349597 16990425631.6 1.42340206274e+012 0 0 0 0 0 0 0 0 0 0 0 224968.187045 4958.99669388 
4.3970235685e-005 3.32486531859e-005 -281.866188357 -3146061512.39 4452.51876153 1156944.52589 966851535469 15248775468.6 572262667.379 482303525996 18633956102.5 1.41183256382e+012 0 0 0 0 0 0 0 0 0 0 0 253499.457903 6074.61018129 
4.39709242668e-005 3.30538135341e-005 -284.057041676 -3211165182.66 4480.99121364 1181066.32948 965838220136 16628793410.6 633281991.729 481672438847 20389621983.9 1.40049832967e+012 0 0 0 0 0 0 0 0 0 0 0 284714.6669 7412.23684022 
4.3971595154e-005 3.28625150331e-005 -286.235442224 -3276724279.29 4508.89971068 1205335.26184 964736361066 18096917653.4 700562113.897 480986761470 22262138933.1 1.38938585289e+012 0 0 0 0 0 0 0 0 0 0 0 318776.272849 9010.79108843 
4.39722494005e-005 3.26745398316e-005 -288.402878962 -3342774647.68 4536.25470903 1229761.10719 963540375770 19656576135.6 774782071.299 480243016167 24256322224.3 1.37848279983e+012 0 0 0 0 0 0 0 0 0 0 0 355850.205619 10915.1822918 
4.39728879838e-005 3.24896838432e-005 -290.560789762 -3409352724.9 4563.06582324 1254353.83637 962244476248 21311235265.7 856693286.925 479437570591 26377088364.6 1.36777791007e+012 0 0 0 0 0 0 0 0 0 0 0 396105.603983 13177.1304981 
4.3973511812e-005 3.23077554653e-005 -292.710567401 -3476495634.55 4589.3419041 1279123.63561 960842673228 23064392892.9 947126124.859 478566634497 28629456431.9 1.35726090615e+012 0 0 0 0 0 0 0 0 0 0 0 439714.536319 15856.0820855 
