t	h	T	H2	H	O	O2	OH	H2O	H2O2	H02	masa
1.692294309e-007	1e-011	300	70665823.42	104616652.1	1710477.852	99950467.29	42724810.94	-52899203.51	304.9497202	24.68396366	0.6241058739
1.702702685e-007	1e-011	300	70520366.62	105338468.8	1715623.464	99968295.58	43074106.91	-52797487.66	306.1456726	24.85303536	0.6258087761
1.713105604e-007	1e-011	300	70374950.32	106060823.1	1720784.464	99986097.2	43424097.44	-52691417.07	307.3369335	25.0220978	0.6275290299
1.723502844e-007	1e-011	300	70229578.01	106783691.2	1725960.677	100003871.8	43774767.43	-52580992.07	308.5235078	25.19114231	0.629266579
1.733894181e-007	1e-011	300	70084253.23	107507049.4	1731151.925	100021619.1	44126101.74	-52466213.19	309.7054003	25.36016028	0.6310213662
1.74427939e-007	1e-011	300	69938979.48	108230873.7	1736358.027	100039338.7	44478085.21	-52347081.14	310.882616	25.52914317	0.6327933336
1.754658246e-007	1e-011	300	69793760.31	108955140.1	1741578.8	100057030.3	44830702.64	-52223596.82	312.0551597	25.6980825	0.6345824226
1.765030521e-007	1e-011	300	69648599.27	109679824.7	1746814.058	100074693.6	45183938.76	-52095761.38	313.2230365	25.86696984	0.6363885736
1.775395988e-007	1e-011	300	69503499.93	110404903.4	1752063.614	100092328.3	45537778.29	-51963576.19	314.386251	26.03579682	0.6382117259
1.785754418e-007	1e-011	300	69358465.87	111130351.9	1757327.276	100109934	45892205.9	-51827042.85	315.5448082	26.20455511	0.640051818
1.796105579e-007	1e-011	300	69213500.68	111856146	1762604.851	100127510.4	46247206.23	-51686163.24	316.6987128	26.37323647	0.6419087873
1.806449241e-007	1e-011	300	69068607.98	112582261.5	1767896.143	100145057.2	46602763.85	-51540939.5	317.8479697	26.54183269	0.64378257
1.816785169e-007	1e-011	300	68923791.4	113308673.8	1773200.954	100162574	46958863.31	-51391374.05	318.9925834	26.71033562	0.6456731014
1.827113131e-007	1e-011	300	68779054.59	114035358.5	1778519.083	100180060.6	47315489.09	-51237469.61	320.1325588	26.87873717	0.6475803152
1.837432891e-007	1e-011	300	68634401.2	114762290.9	1783850.327	100197516.6	47672625.66	-51079229.21	321.2679003	27.04702929	0.6495041443
1.84774421e-007	1e-011	300	68489834.92	115489446.5	1789194.48	100214941.7	48030257.41	-50916656.19	322.3986125	27.21520399	0.6514445202
1.858046852e-007	1e-011	300	68345359.45	116216800.4	1794551.333	100232335.6	48388368.69	-50749754.23	323.5246999	27.38325334	0.6534013727
1.868340575e-007	1e-011	300	68200978.51	116944327.7	1799920.677	100249697.8	48746943.8	-50578527.35	324.6461669	27.55116943	0.6553746308
1.878625138e-007	1e-011	300	68056695.84	117672003.6	1805302.298	100267028.2	49105966.98	-50402979.94	325.7630178	27.71894444	0.6573642216
1.888900298e-007	1e-011	300	67912515.2	118399802.8	1810695.981	100284326.4	49465422.45	-50223116.72	326.8752568	27.88657056	0.6593700711
1.899165811e-007	1e-011	300	67768440.37	119127700.2	1816101.508	100301591.9	49825294.33	-50038942.83	327.9828882	28.05404006	0.6613921034
1.909421429e-007	1e-011	300	67624475.15	119855670.6	1821518.659	100318824.6	50185566.71	-49850463.77	329.0859159	28.22134523	0.6634302414
1.919666905e-007	1e-011	300	67480623.37	120583688.5	1826947.211	100336024.1	50546223.62	-49657685.46	330.184344	28.38847842	0.6654844063
1.92990199e-007	1e-011	300	67336888.87	121311728.5	1832386.939	100353189.9	50907249.03	-49460614.22	331.2781762	28.55543203	0.6675545173
1.94012643e-007	1e-011	300	67193275.53	122039764.7	1837837.616	100370321.9	51268626.83	-49259256.81	332.3674164	28.72219848	0.6696404925
1.950339973e-007	1e-011	300	67049787.24	122767771.7	1843299.012	100387419.7	51630340.89	-49053620.4	333.4520682	28.88877027	0.6717422478
1.960542364e-007	1e-011	300	66906427.92	123495723.3	1848770.894	100404482.8	51992374.96	-48843712.63	334.532135	29.05513989	0.6738596975
